pokemon_id,move_identifier,power,multiplier
1,cut,50,0.3333333333333333
1,tackle,40,0.26666666666666666
1,body-slam,85,0.5666666666666667
1,take-down,90,0.6
1,double-edge,120,0.8
1,razor-leaf,55,0.36666666666666664
1,solar-beam,120,0.8
1,quick-attack,40,0.26666666666666666
1,bonemerang,50,0.3333333333333333
1,slash,70,0.4666666666666667
2,bonemerang,50,0.3333333333333333
2,flame-wheel,60,0.4
2,sludge-bomb,90,0.6
2,fury-cutter,40,0.26666666666666666
2,hidden-power,60,0.4
2,steel-wing,70,0.4666666666666667
2,dynamic-punch,100,0.6666666666666666
2,dragon-breath,60,0.4
2,iron-tail,100,0.6666666666666666
2,cross-chop,100,0.6666666666666666
3,crunch,80,0.5333333333333333
3,secret-power,70,0.4666666666666667
3,mist-ball,70,0.4666666666666667
3,dragon-claw,80,0.5333333333333333
3,mud-shot,55,0.36666666666666664
3,magical-leaf,60,0.4
3,water-pulse,60,0.4
3,hammer-arm,100,0.6666666666666666
3,sucker-punch,70,0.4666666666666667
3,close-combat,120,0.8
